No,Company,Employees,OutputVat,InputVat,Netvat,Sector,Industry,Year,,,,,,,,
1,Walmart,23000,48587300,47223000,1364300,Retailing,General Merchandisers,2017,,,,,,,,
2,Berkshire Hathaway,3677,22360400,19953000,2407400,Financials,Insurance: Property and Casualty (Stock),2017,,,,,,,,
3,Apple,1160,21563900,16995200,4568700,Technology,"Computers, Office Equipment",2017,,,,,,,,
4,Exxon Mobil,727,20500400,19716400,784000,Energy,Petroleum Refining,2017,,,,,,,,
5,McKesson,680,19248700,19022900,225800,Wholesalers,Wholesalers: Health Care,2017,,,,,,,,
6,UnitedHealth Group,2300,18484000,17782300,701700,Health Care,Health Care: Insurance and Managed Care,2017,,,,,,,,
7,CVS Health,2040,17752600,17220900,531700,Health Care,Health Care: Pharmacy and Other Services,2017,,,,,,,,
8,General Motors,2250,16638000,15695300,942700,Motor Vehicles & Parts,Motor Vehicles and Parts,2017,,,,,,,,
9,AT&T,2685,16378600,15081000,1297600,Telecommunications,Telecommunications,2017,,,,,,,,
10,Ford Motor,2010,15180000,14720400,459600,Motor Vehicles & Parts,Motor Vehicles and Parts,2017,,,,,,,,
11,AmerisourceBergen,185,14685000,14542210,142790,Wholesalers,Wholesalers: Health Care,2017,,,,,,,,
12,Amazon.com,3414,13598700,13361600,237100,Technology,Internet Services and Retailing,2017,,,,,,,,
13,General Electric,2950,12666100,11783000,883100,Industrials,Industrial Machinery,2017,,,,,,,,
14,Verizon,1609,12598000,11285300,1312700,Telecommunications,Telecommunications,2017,,,,,,,,
15,Cardinal Health,373,12154600,12011900,142700,Wholesalers,Wholesalers: Health Care,2017,,,,,,,,
16,Costco,1720,11871900,11636900,235000,Retailing,General Merchandisers,2017,,,,,,,,
17,Walgreens Boots Alliance,3000,11735100,11317800,417300,Food & Drug Stores,Food and Drug Stores,2017,,,,,,,,
18,Kroger,4430,11533700,11336200,197500,Food & Drug Stores,Food and Drug Stores,2017,,,,,,,,
19,Chevron,552,10756700,10806400,-49700,Energy,Petroleum Refining,2017,,,,,,,,
20,Fannie Mae,70,10716200,9484900,1231300,Financials,Diversified Financials,2017,,,,,,,,
21,J.P. Morgan Chase,2434,10548600,8075300,2473300,Financials,Commercial Banks,2017,,,,,,,,
22,Express Scripts Holding,256,10028800,9688360,340440,Health Care,Health Care: Pharmacy and Other Services,2017,,,,,,,,
23,Home Depot,4060,9459500,8663800,795700,Retailing,Specialty Retailers: Other,2017,,,,,,,400000,20000
24,Boeing,1505,9457100,8967600,489500,Aerospace & Defense,Aerospace and Defense,2017,,,,,,,,
25,Wells Fargo,2691,9417600,7223800,2193800,Financials,Commercial Banks,2017,,,,,,,,
26,Bank of America Corp.,2080,9366200,7575600,1790600,Financials,Commercial Banks,2017,,,,,,,,
27,Alphabet,721,9027200,7079400,1947800,Technology,Internet Services and Retailing,2017,,,,,,,,
28,Microsoft,1140,8532000,6852200,1679800,Technology,Computer Software,2017,,,,,,,,
